Server	Update Name	Rating
vcorp100w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2736422)	Important	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2778930)	Important	
vcorp100w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2736428)	Important	
vcorp100w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2742599)	Important	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2785220)	Important	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2769369)	Critical	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2757638)	Moderate	
vcorp100w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2742595)	Important	
vcorp100w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2756921)	Important	
vcorp100w	Windows Malicious Software Removal Tool x64 - January 2013 (KB890830)		
vcorp101w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2736422)	Important	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2778930)	Important	
vcorp101w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2736428)	Important	
vcorp101w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2742599)	Important	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2785220)	Important	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2769369)	Critical	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2757638)	Moderate	
vcorp101w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2742595)	Important	
vcorp101w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2756921)	Important	
vcorp101w	Windows Malicious Software Removal Tool x64 - January 2013 (KB890830)		
vcorp102w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2736422)	Important	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2778930)	Important	
vcorp102w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2736428)	Important	
vcorp102w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2742599)	Important	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2785220)	Important	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2769369)	Critical	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2757638)	Moderate	
vcorp102w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2742595)	Important	
vcorp102w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2756921)	Important	
vcorp102w	Windows Malicious Software Removal Tool x64 - January 2013 (KB890830)		
vcorp103w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2736422)	Important	
vcorp103w	Security Update for Windows Server 2008 R2 x64 Edition (KB2778930)	Important	
vcorp103w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2736428)	Important	
vcorp103w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2742599)	Important	
vcorp103w	Security Update for Windows Server 2008 R2 x64 Edition (KB2785220)	Important	
vcorp103w	Security Update for Windows Server 2008 R2 x64 Edition (KB2769369)	Critical	
vcorp103w	Security Update for Windows Server 2008 R2 x64 Edition (KB2757638)	Moderate	
vcorp103w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2742595)	Important	
vcorp103w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2756921)	Important	
vcorp103w	Windows Malicious Software Removal Tool x64 - January 2013 (KB890830)		
vcorp104w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2736422)	Important	
vcorp104w	Security Update for Windows Server 2008 R2 x64 Edition (KB2778930)	Important	
vcorp104w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2736428)	Important	
vcorp104w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2742599)	Important	
vcorp104w	Security Update for Windows Server 2008 R2 x64 Edition (KB2785220)	Important	
vcorp104w	Security Update for Windows Server 2008 R2 x64 Edition (KB2769369)	Critical	
vcorp104w	Security Update for Windows Server 2008 R2 x64 Edition (KB2757638)	Moderate	
vcorp104w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2742595)	Important	
vcorp104w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2756921)	Important	
vcorp104w	Windows Malicious Software Removal Tool x64 - January 2013 (KB890830)		
vcorp105w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2736422)	Important	
vcorp105w	Security Update for Windows Server 2008 R2 x64 Edition (KB2778930)	Important	
vcorp105w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2736428)	Important	
vcorp105w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2742599)	Important	
vcorp105w	Security Update for Windows Server 2008 R2 x64 Edition (KB2785220)	Important	
vcorp105w	Security Update for Windows Server 2008 R2 x64 Edition (KB2769369)	Critical	
vcorp105w	Security Update for Windows Server 2008 R2 x64 Edition (KB2757638)	Moderate	
vcorp105w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2742595)	Important	
vcorp105w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2756921)	Important	
vcorp105w	Windows Malicious Software Removal Tool x64 - January 2013 (KB890830)		
vcorp106w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2736422)	Important	
vcorp106w	Security Update for Windows Server 2008 R2 x64 Edition (KB2778930)	Important	
vcorp106w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2736428)	Important	
vcorp106w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2742599)	Important	
vcorp106w	Security Update for Windows Server 2008 R2 x64 Edition (KB2785220)	Important	
vcorp106w	Security Update for Windows Server 2008 R2 x64 Edition (KB2769369)	Critical	
vcorp106w	Security Update for Windows Server 2008 R2 x64 Edition (KB2757638)	Moderate	
vcorp106w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2742595)	Important	
vcorp106w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2756921)	Important	
vcorp106w	Windows Malicious Software Removal Tool x64 - January 2013 (KB890830)		
vcorp107w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2736422)	Important	
vcorp107w	Security Update for Windows Server 2008 R2 x64 Edition (KB2778930)	Important	
vcorp107w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2736428)	Important	
vcorp107w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2742599)	Important	
vcorp107w	Security Update for Windows Server 2008 R2 x64 Edition (KB2785220)	Important	
vcorp107w	Security Update for Windows Server 2008 R2 x64 Edition (KB2769369)	Critical	
vcorp107w	Security Update for Windows Server 2008 R2 x64 Edition (KB2757638)	Moderate	
vcorp107w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2742595)	Important	
vcorp107w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2756921)	Important	
vcorp107w	Windows Malicious Software Removal Tool x64 - January 2013 (KB890830)		
vcorp108w	Security Update for Microsoft Office 2007 suites (KB2687499)	Critical	
vcorp108w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2736422)	Important	
vcorp108w	Security Update for Windows Server 2008 R2 x64 Edition (KB2778930)	Important	
vcorp108w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2736428)	Important	
vcorp108w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2742599)	Important	
vcorp108w	Security Update for Windows Server 2008 R2 x64 Edition (KB2785220)	Important	
vcorp108w	Security Update for Windows Server 2008 R2 x64 Edition (KB2769369)	Critical	
vcorp108w	Security Update for Windows Server 2008 R2 x64 Edition (KB2757638)	Moderate	
vcorp108w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2742595)	Important	
vcorp108w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2756921)	Important	
vcorp108w	Windows Malicious Software Removal Tool x64 - January 2013 (KB890830)		
vcorp109w	Security Update for Microsoft Visual Studio 2008 Service Pack 1 XML Editor (KB2251487)	Important	
vcorp109w	Security Update for SQL Server 2008 R2 (KB2494088)	Important	
vcorp109w	Microsoft SQL Server 2008 R2 Service Pack 1 (KB2528583)		
vcorp109w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2736422)	Important	
vcorp109w	Security Update for Windows Server 2008 R2 x64 Edition (KB2778930)	Important	
vcorp109w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2742599)	Important	
vcorp109w	Security Update for Windows Server 2008 R2 x64 Edition (KB2785220)	Important	
vcorp109w	Cumulative Security Update for Internet Explorer 9 for Windows Server 2008 R2 x64 Edition (KB2530548)	Critical	
vcorp109w	Security Update for Windows Server 2008 R2 x64 Edition (KB2769369)	Critical	
vcorp109w	Security Update for Windows Server 2008 R2 x64 Edition (KB2757638)	Moderate	
vcorp109w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2756921)	Important	
vcorp109w	Windows Malicious Software Removal Tool x64 - January 2013 (KB890830)		
